Ride,Date/Time,Wait Time
Walt Disney World Railroad - Fantasyland,2023-03-01 07:00:17,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:01:16,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:02:14,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:03:12,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:05:10,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:07:18,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:10:16,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:12:15,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:13:15,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:15:17,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:17:21,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:18:12,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:20:16,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:23:11,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:25:16,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:27:09,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:30:16,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:31:12,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:33:16,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:35:19,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:38:14,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:40:17,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:42:22,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:45:25,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:48:13,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:50:15,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:53:14,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:55:11,1
Walt Disney World Railroad - Fantasyland,2023-03-01 07:57:17,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:00:18,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:01:11,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:03:14,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:05:13,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:08:15,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:10:18,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:13:20,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:15:16,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:17:16,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:20:22,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:23:10,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:25:17,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:28:14,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:30:17,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:31:11,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:33:11,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:35:15,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:38:18,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:40:17,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:42:12,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:45:18,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:48:07,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:50:17,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:53:16,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:55:23,1
Walt Disney World Railroad - Fantasyland,2023-03-01 08:57:18,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:00:15,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:01:17,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:03:15,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:05:18,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:08:13,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:10:12,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:13:12,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:15:19,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:17:14,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:20:12,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:23:10,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:25:12,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:28:13,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:30:14,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:31:14,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:33:17,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:35:15,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:38:14,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:40:17,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:42:16,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:45:21,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:48:13,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:50:20,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:53:13,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:55:15,1
Walt Disney World Railroad - Fantasyland,2023-03-01 09:57:12,1
Walt Disney World Railroad - Fantasyland,2023-03-01 10:00:18,1
Walt Disney World Railroad - Fantasyland,2023-03-01 10:01:16,1
Walt Disney World Railroad - Fantasyland,2023-03-01 10:03:11,1
