Ride,Date/Time,Wait Time
Walt Disney's Enchanted Tiki Room,2023-03-01 09:03:15,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:05:18,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:08:13,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:10:12,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:13:12,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:15:19,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:17:14,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:20:12,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:23:10,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:25:12,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:28:13,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:30:14,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:31:14,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:33:17,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:35:15,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:38:14,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:40:17,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:42:16,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:45:21,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:48:13,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:50:20,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:53:13,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:55:15,1
Walt Disney's Enchanted Tiki Room,2023-03-01 09:57:12,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:00:18,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:01:16,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:03:11,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:05:18,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:08:15,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:10:17,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:13:19,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:15:14,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:17:25,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:20:17,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:23:16,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:25:18,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:28:21,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:30:18,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:31:16,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:33:20,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:35:13,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:38:13,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:40:12,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:42:17,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:45:10,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:48:19,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:50:17,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:53:19,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:55:14,1
Walt Disney's Enchanted Tiki Room,2023-03-01 10:57:11,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:00:13,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:01:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:03:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:05:19,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:08:17,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:10:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:13:10,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:15:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:17:21,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:20:13,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:23:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:25:17,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:28:09,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:30:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:31:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:33:18,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:35:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:38:13,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:40:19,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:42:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:45:18,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:48:13,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:50:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:53:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:55:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 11:57:10,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:00:23,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:01:10,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:03:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:05:20,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:08:22,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:10:13,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:13:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:15:09,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:17:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:20:20,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:23:18,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:25:20,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:28:11,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:30:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:31:10,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:33:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:35:18,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:38:11,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:40:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:42:15,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:45:17,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:48:17,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:50:10,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:53:13,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:55:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 12:57:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:00:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:01:13,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:03:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:05:22,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:08:19,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:10:17,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:13:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:15:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:17:17,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:20:17,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:23:17,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:25:11,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:28:15,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:30:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:31:20,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:33:19,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:35:17,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:38:19,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:40:19,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:42:18,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:45:18,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:48:15,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:50:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:53:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:55:18,5
Walt Disney's Enchanted Tiki Room,2023-03-01 13:57:18,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:00:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:01:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:03:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:05:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:08:13,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:10:10,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:13:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:15:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:17:20,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:20:15,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:23:15,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:25:18,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:28:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:30:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:31:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:33:18,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:35:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:38:13,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:40:18,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:42:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:45:22,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:48:15,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:50:15,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:53:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:55:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 14:57:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:00:22,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:01:11,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:03:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:05:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:08:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:10:18,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:13:10,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:15:11,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:17:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:20:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:23:19,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:25:20,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:28:18,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:30:19,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:31:15,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:33:13,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:35:20,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:38:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:40:20,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:42:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:45:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:48:10,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:50:14,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:53:13,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:55:20,5
Walt Disney's Enchanted Tiki Room,2023-03-01 15:57:18,5
Walt Disney's Enchanted Tiki Room,2023-03-01 16:00:13,5
Walt Disney's Enchanted Tiki Room,2023-03-01 16:01:12,5
Walt Disney's Enchanted Tiki Room,2023-03-01 16:03:17,5
Walt Disney's Enchanted Tiki Room,2023-03-01 16:05:16,5
Walt Disney's Enchanted Tiki Room,2023-03-01 16:08:10,5
Walt Disney's Enchanted Tiki Room,2023-03-01 16:10:17,5
Walt Disney's Enchanted Tiki Room,2023-03-01 16:13:09,5
Walt Disney's Enchanted Tiki Room,2023-03-01 16:15:20,5
Walt Disney's Enchanted Tiki Room,2023-03-01 16:17:14,5
