Ride,Date/Time,Wait Time
TRON Lightcycle / Run,2023-03-20 09:00:16,2
TRON Lightcycle / Run,2023-03-20 09:03:26,10
TRON Lightcycle / Run,2023-03-20 09:05:16,10
TRON Lightcycle / Run,2023-03-20 09:08:26,11
TRON Lightcycle / Run,2023-03-20 09:10:16,11
TRON Lightcycle / Run,2023-03-20 09:14:27,12
TRON Lightcycle / Run,2023-03-20 09:15:16,12
TRON Lightcycle / Run,2023-03-20 09:18:26,13
TRON Lightcycle / Run,2023-03-20 09:20:16,13
TRON Lightcycle / Run,2023-03-20 09:23:26,14
TRON Lightcycle / Run,2023-03-20 09:25:17,14
TRON Lightcycle / Run,2023-03-20 09:28:26,15
TRON Lightcycle / Run,2023-03-20 09:30:17,15
TRON Lightcycle / Run,2023-03-20 09:33:26,16
TRON Lightcycle / Run,2023-03-20 09:35:16,17
TRON Lightcycle / Run,2023-03-20 09:38:26,17
TRON Lightcycle / Run,2023-03-20 09:40:16,18
TRON Lightcycle / Run,2023-03-20 09:43:26,18
TRON Lightcycle / Run,2023-03-20 09:45:16,19
TRON Lightcycle / Run,2023-03-20 09:48:26,19
TRON Lightcycle / Run,2023-03-20 09:50:16,20
TRON Lightcycle / Run,2023-03-20 09:53:26,20
TRON Lightcycle / Run,2023-03-20 09:55:16,21
TRON Lightcycle / Run,2023-03-20 09:58:26,21
TRON Lightcycle / Run,2023-03-20 10:00:16,21
TRON Lightcycle / Run,2023-03-20 10:03:26,22
TRON Lightcycle / Run,2023-03-20 10:05:16,22
TRON Lightcycle / Run,2023-03-20 10:08:26,23
TRON Lightcycle / Run,2023-03-20 10:10:16,23
TRON Lightcycle / Run,2023-03-20 10:14:27,24
TRON Lightcycle / Run,2023-03-20 10:15:16,24
TRON Lightcycle / Run,2023-03-20 10:18:26,25
TRON Lightcycle / Run,2023-03-20 10:20:16,25
TRON Lightcycle / Run,2023-03-20 10:23:26,25
TRON Lightcycle / Run,2023-03-20 10:25:16,26
TRON Lightcycle / Run,2023-03-20 10:28:27,26
TRON Lightcycle / Run,2023-03-20 10:30:16,27
TRON Lightcycle / Run,2023-03-20 10:33:26,27
TRON Lightcycle / Run,2023-03-20 10:35:16,28
TRON Lightcycle / Run,2023-03-20 10:38:26,28
TRON Lightcycle / Run,2023-03-20 10:40:16,29
TRON Lightcycle / Run,2023-03-20 10:43:26,29
TRON Lightcycle / Run,2023-03-20 10:45:17,30
TRON Lightcycle / Run,2023-03-20 10:48:26,30
TRON Lightcycle / Run,2023-03-20 10:50:16,31
TRON Lightcycle / Run,2023-03-20 10:53:26,31
TRON Lightcycle / Run,2023-03-20 10:55:16,31
TRON Lightcycle / Run,2023-03-20 10:58:26,32
TRON Lightcycle / Run,2023-03-20 11:00:16,32
TRON Lightcycle / Run,2023-03-20 11:03:26,33
TRON Lightcycle / Run,2023-03-20 11:05:16,33
TRON Lightcycle / Run,2023-03-20 11:08:26,34
TRON Lightcycle / Run,2023-03-20 11:10:16,34
TRON Lightcycle / Run,2023-03-20 11:14:27,35
TRON Lightcycle / Run,2023-03-20 11:15:16,35
TRON Lightcycle / Run,2023-03-20 11:18:26,35
TRON Lightcycle / Run,2023-03-20 11:20:16,36
TRON Lightcycle / Run,2023-03-20 11:23:26,36
TRON Lightcycle / Run,2023-03-20 11:25:16,37
TRON Lightcycle / Run,2023-03-20 11:28:26,37
TRON Lightcycle / Run,2023-03-20 11:30:16,37
TRON Lightcycle / Run,2023-03-20 11:33:26,38
TRON Lightcycle / Run,2023-03-20 11:35:17,38
TRON Lightcycle / Run,2023-03-20 11:38:26,39
TRON Lightcycle / Run,2023-03-20 11:40:16,39
TRON Lightcycle / Run,2023-03-20 11:43:27,39
TRON Lightcycle / Run,2023-03-20 11:45:17,40
TRON Lightcycle / Run,2023-03-20 11:48:26,40
TRON Lightcycle / Run,2023-03-20 11:50:16,41
TRON Lightcycle / Run,2023-03-20 11:53:26,41
TRON Lightcycle / Run,2023-03-20 11:55:16,42
TRON Lightcycle / Run,2023-03-20 11:58:27,42
TRON Lightcycle / Run,2023-03-20 12:00:16,42
TRON Lightcycle / Run,2023-03-20 12:03:26,42
TRON Lightcycle / Run,2023-03-20 12:05:16,44
TRON Lightcycle / Run,2023-03-20 12:08:26,44
TRON Lightcycle / Run,2023-03-20 12:10:16,45
TRON Lightcycle / Run,2023-03-20 12:14:26,45
TRON Lightcycle / Run,2023-03-20 12:15:17,45
TRON Lightcycle / Run,2023-03-20 12:18:26,46
TRON Lightcycle / Run,2023-03-20 12:20:16,46
TRON Lightcycle / Run,2023-03-20 12:23:26,47
TRON Lightcycle / Run,2023-03-20 12:25:17,47
